列名	#	数据类型	长度	标度	非空	自动生成	自动递增	默认	描述
md_id	1	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
pripid	2	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
processid	3	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
entname	4	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
uniscid	5	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
regno	6	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
regorg	7	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
regorg_cn	8	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
canrea	9	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
candate	10	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
pritype	11	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
s_ext_datatime	12	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
tong_id	13	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
tong_time	14	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
op	15	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
src_project	16	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
src_table	17	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
proc_timestamp	18	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
is_valid	19	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
hash_unique	20	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
hash_all	21	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
fh_rksj	22	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
instance_id	23	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
canreano	24	STRING	[NULL]	[NULL]	false	false	false	[NULL]	[NULL]
